Experiment	Control	
3.527062	NaN	
3.870944	4.798761	
3.001989	6.154032	
1.333806	6.000688	
5.106936	4.285193	
2.857074	3.004644	
4.800137	4.738428	
2.000451	NaN	
NaN	4.557194	
4.285977	4.211180	
NaN	5.084776	
6.695395	3.478290	
NaN	4.998905	
4.000080	4.287477	
3.333681	4.666868	
3.333085	NaN	
NaN	3.912959	
NaN	NaN	
5.218599	4.897674	
3.076722	3.396597	
3.242539	NaN	
4.613031	4.614004	
5.454806	NaN	
2.290258	2.400118	
5.106611	4.500919	
NaN	4.000274	
3.750504	4.187187	
3.333795	NaN	
6.000372	NaN	
5.292213	3.297066	
6.424957	NaN	
4.138706	NaN	
NaN	NaN	
6.669209	5.454931	
6.923278	3.489039	
NaN	4.475692	
NaN	0.000000	
5.833341	0.000000	
4.999037	0.000000	
5.294745	0.000000	
5.217840	0.000000	
