Experiment	Control	
2.284181	1.134168	
1.167555	0.934033	
1.584335	1.367500	
1.650998	2.117461	
1.767525	2.450726	
1.684106	2.884100	
1.050825	1.851070	
1.767541	3.183898	
2.184116	1.467500	
1.584169	1.684282	
NaN	1.784117	
2.600761	3.150668	
2.884123	1.317495	
1.550911	4.534062	
1.767541	1.384103	
2.633555	2.000816	
1.800750	1.734038	
NaN	2.400820	
2.817487	2.150787	
0.867459	1.434119	
2.100521	1.567521	
0.884094	1.550820	
3.017344	3.700733	
0.967544	1.750852	
1.900794	2.034065	
1.550809	4.000694	
1.517390	7.084134	
1.867425	1.800775	
1.950732	1.034136	
1.967516	2.550865	
2.100715	2.867396	
1.050905	1.284276	
1.967511	1.384182	
2.234238	3.934014	
1.267464	2.583761	
NaN	1.333616	
NaN	0.000000	
0.884114	0.000000	
1.350757	0.000000	
2.100836	0.000000	
1.267521	0.000000	
