Experiment	Control	
3.027749	1.134885	
1.684930	1.350995	
1.918186	2.017797	
2.401043	2.951080	
2.551083	2.917762	
2.384459	3.216948	
1.467758	2.484562	
2.267753	3.184199	
2.184434	2.784424	
1.817819	2.634460	
2.777749	2.767774	
2.877749	4.300974	
2.977749	1.917943	
2.051196	4.767595	
2.967736	2.884379	
3.027749	2.001153	
1.801064	2.501007	
3.227749	2.401147	
3.327749	2.967873	
1.517904	2.317636	
2.717507	1.567835	
1.534753	1.767880	
3.227749	3.700836	
3.327749	3.001064	
2.684370	2.700891	
1.551135	4.500997	
1.784301	7.800932	
2.167686	1.801555	
2.827749	1.034452	
2.534755	4.067712	
2.777749	2.867730	
1.534599	1.284560	
2.727749	1.384472	
2.534451	4.667611	
1.701081	4.016726	
2.777749	2.451071	
2.877749	0.000000	
2.084456	0.000000	
1.951199	0.000000	
2.667771	0.000000	
2.034464	0.000000	
